,,,,,,,,,,,,,,,,,,,,,,
MONTHLY BELL TESTING,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Telus: 1-855-958-8181,Victoria Alarm Service: 1-855-777-8632,,,Tyco: 1-800-289-2647,,,,,,,,,,,,,,,,,
,Absolute: 250-475-3262,PR Bridge Systems: 1877-685-5625,,,Fusion: 1-778-371-7376,,,,,,,,,,,,,,,,,
,Reliance Protection: 250-388-9211,Paladin: 1-800-241-1122,,,ADT: 250-381-5133,,,,,,,,,,,,,,,,,
,Protec: 250-474-0151,Chubb: 1-877-856-3852,,,Bullet: 1-866-282-6544,,,,,,,,,,,,,,,,,
,Thorn: 1-800-561-5433,Shark (Kane): 250-884-6469,,,Troy: 1-833-920-2166,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ROUTE:,1st Monday,,Route 1,Pac Pro 1,,,,,,,,,,,,,,,,,
,DATE:,May,,2026,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Address,Annual,Ring,Key #,FACP,Monitoring,Testing Procedures,Tech Comments & Notes,Time In:,Time Out:,,,,,,,,,,,,
1,"1669 Fairfield Road
Name: Aurora Manor
Management: Newport Property Mgmt.",May,R1,336,"PANEL:  Bell Battery System. 
LOCATION: Lower level west hallway, on wall. ","NONE
",,Newport @ 250-598-2220,ANNUAL BOOKED MAY ,ANNUAL BOOKED MAY ,,,,,,,,,,,,
2,"1595 Rockland Avenue
Name: Rappa Hannock
Management: Pemberton Holmes",May,R1,"PG 5951
K1","PANEL: PACPRO P24A
LOCATION: Basement North East Electrical Room in laundry room.","NONE
","Enter main door, enter door code 4653, walk down stairs to basement until inside laundry room. ","Jan/25(KD): Doors have been re-keyed, our key no longer needed. Use door code 4653",ANNUAL BOOKED MAY ,ANNUAL BOOKED MAY ,,,,,,,,,,,,
3,"750 Pemberton Road
Name: Pemberton Meadows
Management: South Island Property Mgmt",September,R1,"CP 057
K1","PANEL: PAC PRO 906D
LOCATION: in basement electrical room; from main floor turn left, at bottom of stairs","NONE
","Door Code: 9618 – Cover the screen with your hand to wake up the lock, when numbers display, enter code.

Key we have on file is for the Upper Basement lock. Use that door.",,8:20,8:30,,,,,,,,,,,,
4,"1392 Rockland Avenue
Name: Rockland House
Management: Gibralter",December,R1,30,"PANEL: Pac-Pro
LOCATION: Located at the W. side of the house - Hydro sticker on the door.  ","NONE
",,,8:34,8:39,,,,,,,,,,,,
5,"1354 Craigdarroch Road
Name: 1354 Craigdarroch
Management: Newport Property Mgmt.",May,R1,174,"PANEL: Battery ONLY System
LOCATION: .basement at bottom stairs from lobby. Turn left, look up ","NONE
",,,ANNUAL BOOKED MAY ,ANNUAL BOOKED MAY ,,,,,,,,,,,,
6,"1004 Pemberton Road
Name:
Management: Raul Caballero",December,R1,PB 4001,"PANEL:  Pac-Pro (Self-Resetting)
LOCATION: in Electrical Room. Electrical room should be unlocked. ","NONE
","PARK IN BACK BY SHED OFF CARBERRY. 

Key provides access to the door around the right side of the building up on the balcony (from main entrance on Pemberton)

 PAY ATTENTION TO INSTRUCTIONS ABOVE PLEASE ACCESS FACP From front entrance on the right side of the building","(JW) MAY 2024. Key does not seem to fit the lock on the balcony or main floor. No access. 

JUN24(KD): Elec. room on right side of building, ground floor, black door with mail slot. Single common area pull station located behind locked door on upper balcony to the right of unit 3.

",8:43,8:50,,,,,,,,,,,,
7,"1419 Fort Street
Name: 1419 Fort Street
Management: Newport Property Mgmt",July,N/A,N/A,"PANEL: Bell Battery System
LOCATION: FACP Batteries in boiler Rm(above boiler )off Laundry / Bike Room external access.","NONE
",,"Code: 7617
",8:54,9:00,,,,,,,,,,,,
8,"1435 Elford Street
Name: Chatlaine
Management: TPM Property Mgmt.",July,R1,395,"PANEL: Pac-Pro (Self-Restore)
LOCATION: in Main Electrical Rm off Laundry (North hall). ","NONE
",,,9:03,9:08,,,,,,,,,,,,
9,"1430 Stadacona Avenue
Name: Corona
Management: Devon Properties/ Starlight",April,R1,396,"PANEL: Pac-Pro (Self-Restore)
LOCATION:  in Electrical Rm off Main Flr Lobby","NONE
",,"Washrooms in storage/lockers in main floor north hallway. 

Site Contact: 778-350-9837",9:11,9:18,,,,,,,,,,,,
10,"1465 Fort Street
Name: Chalet Apartments
Management: Brown Brothers Property Management",December,R1,FT5641,"PANEL: FX 2000
LOCATION: in North west electrical room. Go along west side of building to get to. ","NONE
",,brand new FX 2000 installed verified March 2026 by community fire ,,,,,,,,,,,,,,
11,"1485 Fort Street
Name: 1485 Fort Street
Management: Peter Hejjas",March,R1,138,"PANEL: Pac-Pro (Self-Restore)
LOCATION:  in Basement by Laundry Room ","NONE
",,"
Park in the rear of the building. 

OCT 7: MANAGER GAVE KEY TO ELECTRICAL ROOM 
 
May/25 (VCS): Test failed with AC off and battery measured at 11.05V. Put in a new 12v7 Ah battery and after a successful bell test with AC off the battery measured at 13.07V. Keep an eye on this in the upcoming MBTs. ",9:36,9:42,,,,,,,,,,,,
12,"1527 Fort Street
Name: Hilltop House
Management: Hilltop House Management",July,R1,TF 7251,"PANEL: Pac-Pro P24A
LOCATION: In electrical room through storage lockers. ","NONE
",,"Park in rear. no access May 2026 building has been re-keyed. called site contact julie and no answer, left a vm ",,,,,,,,,,,,,,
13,"1585 Oak Bay Ave
Name: Oak Heights Apartments
Management: Pemberton Holmes",July,R1,364,"PANEL: Pac-Pro
LOCATION: electrical room by entrance door facing McGregor Ave","NONE
",,,10:13,10:17,,,,,,,,,,,,
14,"1653 Oak Bay Avenue
Name: 
Management: Century 21",March,R1,BO 3561,"PANEL:  PAC PRO P24
LOCATION: Outside building to the left of main entrance. (Go on the lawn through the bushes)","NONE
","Make sure to lock door when leaving.

(backup) Entry code (lock box at rear parking lot entrance) 1037","(DF) SPECIAL NOTE FOR JUNE: We really, really need to test this building this month. Kayla will meet you on-site and provide a set of keys. Please make sure they work for the main entrance and electrical room before she leaves. Need to provide a new red folder for this building. Any issues please call DF.

Contact: Kayla 778-679-6304 or Jim 778-679-9309
",10:20,10:27,,,,,,,,,,,,
15,"1505 Morrison
Name: Kenworth
Management: Newport Property Mgmt.",February,R1,06,"PANEL: Battery ONLY System
LOCATION:  Located in basement through code-locked door. Code 0410","NONE
",,"Site Contact: (Jana) 250-598-2220

Code: 0410

",10:30,10:38,,,,,,,,,,,,
16,"1510 Jubilee
Name: Wycliffe Apartments
Management: Pemberton Holmes",July,R1,95,"PANEL: Pac-Pro
LOCATION: hydro room just right of elevator ","NONE
",,,10:43,10:48,,,,,,,,,,,,
17,"1535 Jubilee Avenue
Name: Casa del Rio
Management: Szlanko Family Trust",August,R1,JL 5351,"PANEL: Pac-Pro
LOCATION: Electrical room on ground floor south side of the lobby - through the storage room","NONE
",,November 2025 - Replaced batteries 2x 6v12Ah and MBT went as scheduled. ,10:49,10:54,,,,,,,,,,,,
18,"1555 Jubilee Avenue
Name: Casa Jubiliee
Management: Devon Properties",March,R1,"CJ 5551
[K2]","PANEL: Pac-Pro
LOCATION: in exterior electrical room on main level. Around back by P21","NONE
",,,10:55,11:02,,,,,,,,,,,,
19,"1720 Richmond Avenue
Name: Royal Richmond
Management: Proline Property",September,R1,QL 0271,"PANEL: PAC PRO 904D
LOCATION: Off Lobby Inside storage room north","NONE
",,Washrooms through north fire door.,11:08,11:22,,,,,,,,,,,,
20,"1760 Fort
Name: Ashford Court
Management: Pemberton Holmes",July,R1,157,"PANEL: Pac-Pro
LOCATION: Located in the Hydro Closet by Unit #3 ","NONE
",,Parking access from Ashgrove,11:25,11:32,,,,,,,,,,,,
21,"1660 Fort Street
Name: King Arthur
Management: Century 21 Queenswood",October,R1,167,"PANEL:  Pac-Pro (Self-Restore)
LOCATION: FACP under main lobby stairs. Door lock doesn't work. Use screwdriver. ","NONE
","upon arrival, Fire alarm breaker was turned off , May 4, 2026. turned the fire alarm back on. "," Call JIM - 250-477-1100 Ext 202 if you have any issues. 

 MAR/25 (VCS)- lockbox (has master key inside unless someone it actively working on site) - #1037 , maintainance will put a spare key into red monthly folder for April. 

JUNE/25 (VCS) - When doing MBT with AC off the bells didn't ring. Test was successful after replacing the battery with a new 12v7 Ah. Monitor for future bell tests. ",11:35,11:42,,,,,,,,,,,,
22,"1180 View Street
Name: Hollyview
Management: Devon Properties",May,R1,404,"PANEL: Pac-Pro
LOCATION:  electrical room, inside laundry room","NONE
",,"Site Contact: Donna @ 250-360-7744
",ANNUAL BOOKED MAY ,ANNUAL BOOKED MAY ,,,,,,,,,,,,
23,"1165 Yates Street
Name: Haida Apartments
Management: Devon Properties",February,R1,340,"PANEL: Pac-Pro
LOCATION: Located in 1st floor electrical left of entrance.","NONE
",Fire Doors release on Alarm,"Batteries replaced July 2025

Site Contact: Tiffany @ 250-893-9922
",11:54,12:00,,,,,,,,,,,,
24,"1137-1139 Yates Street
Name: 
Management: Equitex Property Management",     ,R1,TY 7311,"PANEL: Bell Battery
LOCATION: in tenants space in basement (has hydro sticker on door)","NONE
"," Monthly test sheet is in basement electrical that has ""STAFF ONLY"" on door.
Will only need access to tenants space if batteries fail and if so need to talk to maintanence or pharmacy for access. basement access through lalli care ","
VV keys received November 2025 

Site contact Tin 250 891 5790
",12:04,12:12,,,,,,,,,,,,
